2021-07-29 14:28:36,112 Read Config Success
2021-07-29 14:28:37,313 Wallet Connected
2021-07-29 14:28:39,326 Access Level Tier 3: Snipping,Max Speed:10, Auto Sells, Limit Sells, Limit Buys, Stop Loss
2021-07-29 14:30:26,107 Please Input Buy Amount!
2021-07-29 14:30:31,328 Start Bot
2021-07-29 14:34:40,127 Checking the condition, current price:99.95984%
2021-07-29 14:34:41,021 Checking the condition, current price:99.95984%
2021-07-29 14:34:41,913 Checking the condition, current price:99.95831%
2021-07-29 14:34:42,810 Checking the condition, current price:99.95831%
2021-07-29 14:34:43,701 Checking the condition, current price:99.95986%
2021-07-29 14:34:44,567 Checking the condition, current price:99.95986%
2021-07-29 14:34:45,437 Checking the condition, current price:99.95986%
2021-07-29 14:34:46,276 Checking the condition, current price:99.95862%
2021-07-29 14:34:47,054 Checking the condition, current price:99.95862%
2021-07-29 14:34:47,958 Checking the condition, current price:99.95862%
2021-07-29 14:34:48,859 Checking the condition, current price:99.95861%
2021-07-29 14:34:49,757 Checking the condition, current price:99.95861%
2021-07-29 14:34:50,650 Checking the condition, current price:99.95861%
2021-07-29 14:34:51,557 Checking the condition, current price:99.95861%
2021-07-29 14:34:52,454 Checking the condition, current price:99.95861%
2021-07-29 14:34:53,340 Checking the condition, current price:99.95861%
2021-07-29 14:34:54,221 Checking the condition, current price:99.95861%
2021-07-29 14:34:55,121 Checking the condition, current price:99.95861%
2021-07-29 14:34:56,015 Checking the condition, current price:99.96064%
2021-07-29 14:34:56,894 Checking the condition, current price:99.96064%
2021-07-29 14:34:57,673 Checking the condition, current price:99.96064%
2021-07-29 14:34:58,576 Checking the condition, current price:99.96064%
2021-07-29 14:34:59,457 Checking the condition, current price:99.96116%
2021-07-29 14:35:00,342 Checking the condition, current price:99.96116%
2021-07-29 14:35:01,204 Checking the condition, current price:99.96116%
2021-07-29 14:35:02,066 Checking the condition, current price:99.9614%
2021-07-29 14:35:02,939 Checking the condition, current price:99.9614%
2021-07-29 14:35:04,448 Checking the condition, current price:99.9614%
2021-07-29 14:35:05,316 Checking the condition, current price:99.96275%
2021-07-29 14:35:06,222 Checking the condition, current price:99.96275%
2021-07-29 14:35:07,101 Checking the condition, current price:99.96275%
2021-07-29 14:35:07,914 Checking the condition, current price:99.96164%
2021-07-29 14:35:08,723 Checking the condition, current price:99.96164%
2021-07-29 14:35:09,624 Checking the condition, current price:99.96164%
2021-07-29 14:35:11,135 Checking the condition, current price:99.96164%
2021-07-29 14:35:12,017 Checking the condition, current price:99.95997%
2021-07-29 14:35:12,890 Checking the condition, current price:99.95997%
2021-07-29 14:35:14,400 Checking the condition, current price:99.95997%
2021-07-29 14:35:15,296 Checking the condition, current price:99.96011%
2021-07-29 14:35:16,168 Checking the condition, current price:99.96011%
2021-07-29 14:35:17,039 Checking the condition, current price:99.96011%
2021-07-29 14:35:17,845 Checking the condition, current price:99.9599%
2021-07-29 14:35:18,565 Checking the condition, current price:99.9599%
2021-07-29 14:35:19,398 Checking the condition, current price:99.9599%
2021-07-29 14:35:20,290 Checking the condition, current price:99.96081%
2021-07-29 14:35:21,177 Checking the condition, current price:99.96081%
2021-07-29 14:35:22,085 Checking the condition, current price:99.96081%
2021-07-29 14:35:22,952 Checking the condition, current price:99.96131%
2021-07-29 14:35:23,807 Checking the condition, current price:99.96131%
2021-07-29 14:35:24,720 Checking the condition, current price:99.96131%
2021-07-29 14:35:25,606 Checking the condition, current price:99.96131%
2021-07-29 14:35:26,494 Checking the condition, current price:99.96493%
2021-07-29 14:35:27,372 Checking the condition, current price:99.96493%
2021-07-29 14:35:28,234 Checking the condition, current price:99.96493%
2021-07-29 14:35:29,112 Checking the condition, current price:99.96679%
2021-07-29 14:35:29,972 Checking the condition, current price:99.96679%
2021-07-29 14:35:30,850 Checking the condition, current price:99.96679%
2021-07-29 14:35:31,764 Checking the condition, current price:99.96679%
2021-07-29 14:35:32,627 Checking the condition, current price:99.96751%
2021-07-29 14:35:33,500 Checking the condition, current price:99.96751%
2021-07-29 14:35:34,380 Checking the condition, current price:99.96751%
2021-07-29 14:35:35,267 Checking the condition, current price:99.96736%
2021-07-29 14:35:36,136 Checking the condition, current price:99.96736%
2021-07-29 14:35:37,010 Checking the condition, current price:99.96736%
2021-07-29 14:35:37,876 Checking the condition, current price:99.96234%
2021-07-29 14:35:38,744 Checking the condition, current price:99.96234%
2021-07-29 14:35:39,622 Checking the condition, current price:99.96234%
2021-07-29 14:35:40,400 Checking the condition, current price:99.96234%
2021-07-29 14:35:41,289 Checking the condition, current price:99.963%
2021-07-29 14:35:42,151 Checking the condition, current price:99.963%
2021-07-29 14:35:43,050 Checking the condition, current price:99.963%
2021-07-29 14:35:43,933 Checking the condition, current price:99.96488%
2021-07-29 14:35:44,823 Checking the condition, current price:99.96488%
2021-07-29 14:35:45,659 Checking the condition, current price:99.96488%
2021-07-29 14:35:46,550 Checking the condition, current price:99.96488%
2021-07-29 14:35:47,454 Checking the condition, current price:99.96488%
2021-07-29 14:35:48,342 Checking the condition, current price:99.96391%
2021-07-29 14:35:49,263 Checking the condition, current price:99.96391%
2021-07-29 14:35:50,155 Checking the condition, current price:99.96391%
2021-07-29 14:35:50,958 Checking the condition, current price:99.96391%
2021-07-29 14:35:51,849 Checking the condition, current price:99.96391%
2021-07-29 14:35:52,729 Checking the condition, current price:99.96447%
2021-07-29 14:35:53,633 Checking the condition, current price:99.96447%
2021-07-29 14:35:54,519 Checking the condition, current price:99.96447%
2021-07-29 14:35:55,412 Checking the condition, current price:99.96447%
2021-07-29 14:35:56,300 Checking the condition, current price:99.96447%
2021-07-29 14:35:57,183 Checking the condition, current price:99.96447%
2021-07-29 14:35:58,070 Checking the condition, current price:99.96447%
2021-07-29 14:35:58,974 Checking the condition, current price:99.9688%
2021-07-29 14:35:59,859 Checking the condition, current price:99.9688%
2021-07-29 14:36:00,726 Checking the condition, current price:99.9688%
2021-07-29 14:36:01,465 Checking the condition, current price:99.9688%
2021-07-29 14:36:02,316 Checking the condition, current price:99.97361%
2021-07-29 14:36:03,192 Checking the condition, current price:99.97361%
2021-07-29 14:36:04,088 Checking the condition, current price:99.97361%
2021-07-29 14:36:04,990 Checking the condition, current price:99.97361%
2021-07-29 14:36:05,856 Checking the condition, current price:99.97231%
2021-07-29 14:36:06,740 Checking the condition, current price:99.97231%
2021-07-29 14:36:08,283 Checking the condition, current price:99.97231%
2021-07-29 14:36:09,167 Checking the condition, current price:99.97017%
2021-07-29 14:36:10,051 Checking the condition, current price:99.97017%
2021-07-29 14:36:10,910 Checking the condition, current price:99.9689%
