2021-07-28 19:28:28,345 Read Config Success
2021-07-28 19:28:29,307 Wallet Connected
2021-07-28 19:28:30,828 Access Level Tier 3: Snipping,Max Speed:10, Auto Sells, Limit Sells, Limit Buys, Stop Loss
2021-07-28 19:28:37,788 Start Bot
2021-07-28 19:31:38,216 Checking the condition, current price:99.99808%
2021-07-28 19:31:38,926 Checking the condition, current price:99.99808%
2021-07-28 19:31:39,657 Checking the condition, current price:99.99802%
2021-07-28 19:31:40,364 Checking the condition, current price:99.99802%
2021-07-28 19:31:41,071 Checking the condition, current price:99.99802%
2021-07-28 19:31:41,781 Checking the condition, current price:99.99802%
2021-07-28 19:31:42,546 Checking the condition, current price:99.99857%
2021-07-28 19:31:43,273 Checking the condition, current price:99.99857%
2021-07-28 19:31:43,992 Checking the condition, current price:99.99857%
2021-07-28 19:31:44,717 Checking the condition, current price:99.99857%
2021-07-28 19:31:45,604 Checking the condition, current price:99.99857%
2021-07-28 19:31:46,391 Checking the condition, current price:99.99826%
2021-07-28 19:31:47,183 Checking the condition, current price:99.99826%
2021-07-28 19:31:48,022 Checking the condition, current price:99.99826%
2021-07-28 19:31:48,736 Checking the condition, current price:99.99826%
2021-07-28 19:31:49,483 Checking the condition, current price:99.99826%
2021-07-28 19:31:50,268 Checking the condition, current price:99.99826%
2021-07-28 19:31:51,054 Checking the condition, current price:100.00461%
2021-07-28 19:31:51,888 Checking the condition, current price:100.00461%
2021-07-28 19:31:52,755 Checking the condition, current price:100.00461%
2021-07-28 19:31:53,643 Checking the condition, current price:100.00461%
2021-07-28 19:31:54,455 Checking the condition, current price:100.01925%
2021-07-28 19:31:55,282 Checking the condition, current price:100.01925%
2021-07-28 19:31:56,051 Checking the condition, current price:100.01925%
2021-07-28 19:31:56,874 Checking the condition, current price:100.01282%
2021-07-28 19:31:57,665 Checking the condition, current price:100.01282%
2021-07-28 19:31:58,488 Checking the condition, current price:100.01282%
2021-07-28 19:31:59,308 Checking the condition, current price:100.01282%
2021-07-28 19:32:00,087 Checking the condition, current price:100.01282%
2021-07-28 19:32:00,857 Checking the condition, current price:100.01282%
2021-07-28 19:32:01,619 Checking the condition, current price:100.01688%
