2021-07-08 22:25:31,703 Read Config Success
2021-07-08 22:25:34,760 Wallet Connected
2021-07-08 22:25:49,134 Start Bot
2021-07-08 22:25:49,497 Waiting liquidity to be added
2021-07-08 22:28:42,054 Read Config Success
2021-07-08 22:28:44,265 Wallet Connected
2021-07-08 22:28:54,125 Start Bot
2021-07-08 22:28:54,485 Waiting liquidity to be added
2021-07-08 22:29:25,622 Read Config Success
2021-07-08 22:29:27,556 Wallet Connected
2021-07-08 22:29:37,223 Start Bot
2021-07-08 22:29:37,596 Waiting liquidity to be added
2021-07-08 22:31:16,663 Liquidity Added : 0x749a1ad7186fec74a6b3442a5b87d3a24ff666f28c51c1c02d853ad0870355b7
2021-07-08 22:31:16,663 Start Buy
2021-07-08 22:31:20,761 Wait until transaction completed...
2021-07-08 22:31:20,764 Buy transaction: 0xfac154cbd471b48597b8c78351f7ffa62731f694db45b31528b2ed6151e1f9dc
2021-07-08 22:33:24,738 Checking the condition, current price:0.00316359, buy price:0.00316344
2021-07-08 22:33:25,253 Checking the condition, current price:0.00316359, buy price:0.00316344
2021-07-08 22:33:25,766 Checking the condition, current price:0.00316359, buy price:0.00316344
2021-07-08 22:33:26,276 Checking the condition, current price:0.00316359, buy price:0.00316344
2021-07-08 22:33:26,790 Checking the condition, current price:0.00316359, buy price:0.00316344
2021-07-08 22:33:27,305 Checking the condition, current price:0.00316359, buy price:0.00316344
2021-07-08 22:33:27,806 Checking the condition, current price:0.00316359, buy price:0.00316344
2021-07-08 22:33:28,319 Checking the condition, current price:0.00316359, buy price:0.00316344
2021-07-08 22:33:28,821 Checking the condition, current price:0.00316359, buy price:0.00316344
2021-07-08 22:33:29,333 Checking the condition, current price:0.00316359, buy price:0.00316344
2021-07-08 22:33:29,835 Checking the condition, current price:0.00316356, buy price:0.00316344
2021-07-08 22:33:30,347 Checking the condition, current price:0.00316356, buy price:0.00316344
2021-07-08 22:33:30,863 Checking the condition, current price:0.00316356, buy price:0.00316344
2021-07-08 22:33:31,376 Checking the condition, current price:0.00316356, buy price:0.00316344
2021-07-08 22:33:31,889 Checking the condition, current price:0.00316356, buy price:0.00316344
2021-07-08 22:33:32,390 Checking the condition, current price:0.00316356, buy price:0.00316344
2021-07-08 22:33:32,902 Checking the condition, current price:0.00316357, buy price:0.00316344
2021-07-08 22:33:33,433 Checking the condition, current price:0.00316357, buy price:0.00316344
2021-07-08 22:33:33,950 Checking the condition, current price:0.00316357, buy price:0.00316344
2021-07-08 22:33:34,449 Checking the condition, current price:0.00316357, buy price:0.00316344
2021-07-08 22:33:34,951 Checking the condition, current price:0.00316357, buy price:0.00316344
2021-07-08 22:33:35,468 Checking the condition, current price:0.00316356, buy price:0.00316344
2021-07-08 22:33:35,980 Checking the condition, current price:0.00316356, buy price:0.00316344
